what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120500354
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363120537009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120539553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120539719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120568206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120576527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120589561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120591814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120593322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120595172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120596254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120596580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120597396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120597603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120606455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120607393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120608748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120614512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120622210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120622351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120626161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120635957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120639601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120644979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120669096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120700019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120704238
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120719730
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120719730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120721330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120756567
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363120761681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1363120765162
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120766337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120766377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120771031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120773725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120806180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120812579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120814310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120816353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120817902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120819491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120824749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120826443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120829810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120834026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120845136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120867395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120870600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120892089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363120924527
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363120938569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120945583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120959073
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120959458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363120959485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120967513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120972371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120991860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363120993629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121048408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121048595
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121048621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121061174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121071366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121073318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121075507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121089381
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121095447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121098603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121101143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121101276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121104497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121106788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121112315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121115222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121170549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1363121178914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363121182309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121183571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363121189992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121190941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363121195293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121196354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121199676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121204720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121208705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121230130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363121238346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363121245099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121248291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121263914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121287053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363121293913
