what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826440656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826448340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826448977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826452992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826454053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826456163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826460852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826462194
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361826469571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826470213
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361826471517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826471662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826475032
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826475032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361826479835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826483487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361826483654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361826486961
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361826495032
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826495178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826495209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361826497700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361826500947
